Disease,ICD10code,ICD10codeDescr,Provenance,Exclude
Peripheral venous and lymphatic disease,S75.2,Injury of greater saphenous vein at hip and thigh level,New code list,NA
Peripheral venous and lymphatic disease,S85.3,Injury of greater saphenous vein at lower leg level,New code list,NA
Peripheral venous and lymphatic disease,S85.4,Injury of lesser saphenous vein at lower leg level,New code list,NA
Peripheral venous and lymphatic disease,S85.5,Injury of popliteal vein,New code list,NA
Peripheral venous and lymphatic disease,S95.2,Injury of dorsal vein of foot,New code list,NA
Peripheral venous and lymphatic disease,T46.8,"Poisoning: Antivaricose drugs, including sclerosing agents",New code list,NA
Peripheral venous and lymphatic disease,Y52.8,"Antivaricose drugs, including sclerosing agents",New code list,NA
Personality disorder,F21,Schizotypal disorder,Cross-mapped,NA
Personality disorder,F34.0,Cyclothymia,Cross-mapped,NA
Personality disorder,F34.1,Dysthymia,Cross-mapped,NA
Personality disorder,F60,Specific personality disorders,Overlap,NA
Personality disorder,F60.0,Paranoid personality disorder,Cross-mapped,NA
Personality disorder,F60.1,Schizoid personality disorder,Cross-mapped,NA
Personality disorder,F60.2,Dissocial personality disorder,Cross-mapped,NA
Personality disorder,F60.3,Emotionally unstable personality disorder,Cross-mapped,NA
Personality disorder,F60.4,Histrionic personality disorder,Cross-mapped,NA
Personality disorder,F60.5,Anankastic personality disorder,Cross-mapped,NA
Personality disorder,F60.6,Anxious [avoidant] personality disorder,Cross-mapped,NA
Personality disorder,F60.7,Dependent personality disorder,Cross-mapped,NA
Personality disorder,F60.8,Other specific personality disorders,Cross-mapped,NA
Personality disorder,F60.9,"Personality disorder, unspecified",Cross-mapped,NA
Personality disorder,F61,Mixed and other personality disorders,Overlap,NA
Personality disorder,F68,Other disorders of adult personality and behaviour,Cross-mapped,NA
Personality disorder,F69,Unspecified disorder of adult personality and behaviour,Cross-mapped,NA
Polycystic ovarian syndrome,E28.2,Polycystic ovarian syndrome,Overlap,NA
Polycythaemia vera,D45,Polycythaemia vera,Overlap,NA
Polymyalgia Rheumatica,M31.5,Giant cell arteritis with polymyalgia rheumatica,Overlap,NA
Polymyalgia Rheumatica,M35.3,Polymyalgia rheumatica,Overlap,NA
Portal hypertension and oesophageal varices,I85,Oesophageal varices,Kuan,NA
Portal hypertension and oesophageal varices,I85.0,Oesophageal varices with bleeding,Cross-mapped,NA
Portal hypertension and oesophageal varices,I85.9,Oesophageal varices without bleeding,Cross-mapped,NA
Portal hypertension and oesophageal varices,I86,Varicose veins of other sites,Cross-mapped,NA
Portal hypertension and oesophageal varices,I98.2,Oesophageal varices without bleeding in diseases classified elsewhere,Kuan,NA
Portal hypertension and oesophageal varices,I98.3,Oesophageal varices with bleeding in diseases classified elsewhere,Kuan,NA
Portal hypertension and oesophageal varices,K76.6,Portal hypertension,Overlap,NA
Post-traumatic stress and stress-related disorders,F43,"Reaction to severe stress, and adjustment disorders",Overlap,NA
Post-traumatic stress and stress-related disorders,F43.0,Acute stress reaction,Overlap,NA
Post-traumatic stress and stress-related disorders,F43.1,Post-traumatic stress disorder,Overlap,NA
Post-traumatic stress and stress-related disorders,F43.2,Adjustment disorders,Overlap,NA
Post-traumatic stress and stress-related disorders,F43.8,Other reactions to severe stress,Overlap,NA
Post-traumatic stress and stress-related disorders,F43.9,"Reaction to severe stress, unspecified",Overlap,NA
Post-traumatic stress and stress-related disorders,N39.3,Stress incontinence,New code list,NA
Post-traumatic stress and stress-related disorders,R45.7,"State of emotional shock and stress, unspecified",Overlap,NA
Post-traumatic stress and stress-related disorders,R46.6,Undue concern and preoccupation with stressful events,Overlap,NA
Post-traumatic stress and stress-related disorders,Z56.3,Stressful work schedule,Overlap,NA
Post-traumatic stress and stress-related disorders,Z63.7,Other stressful life events affecting family and household,New code list,NA
Post-traumatic stress and stress-related disorders,Z73.3,"Stress, not elsewhere classified",New code list,NA
Primary malignancy biliary tract,C22.1,Malignant neoplasm: Intrahepatic bile duct carcinoma,Overlap,NA
Primary malignancy biliary tract,C24,Malignant neoplasm of other and unspecified parts of biliary tract,Kuan,NA
Primary malignancy biliary tract,C24.0,Malignant neoplasm: Extrahepatic bile duct,Cross-mapped,NA
Primary malignancy biliary tract,C24.1,Malignant neoplasm: Ampulla of Vater,Cross-mapped,NA
Primary malignancy biliary tract,C24.8,Malignant neoplasm: Overlapping lesion of biliary tract,Cross-mapped,NA
Primary malignancy biliary tract,D01.5,"Carcinoma in situ: Liver, gallbladder and bile ducts",Cross-mapped,NA
Primary malignancy biliary tract,D37.6,"Neoplasm of uncertain or unknown behaviour: Liver, gallbladder and bile ducts",Cross-mapped,NA
Primary malignancy bladder,C67,Malignant neoplasm of bladder,Kuan,NA
Primary malignancy bladder,C67.0,Malignant neoplasm: Trigone of bladder,Cross-mapped,NA
Primary malignancy bladder,C67.1,Malignant neoplasm: Dome of bladder,Cross-mapped,NA
Primary malignancy bladder,C67.2,Malignant neoplasm: Lateral wall of bladder,Cross-mapped,NA
Primary malignancy bladder,C67.3,Malignant neoplasm: Anterior wall of bladder,Cross-mapped,NA
Primary malignancy bladder,C67.4,Malignant neoplasm: Posterior wall of bladder,Cross-mapped,NA
Primary malignancy bladder,C67.5,Malignant neoplasm: Bladder neck,Cross-mapped,NA
Primary malignancy bladder,C67.6,Malignant neoplasm: Ureteric orifice,Cross-mapped,NA
Primary malignancy bladder,C67.7,Malignant neoplasm: Urachus,Cross-mapped,NA
Primary malignancy bladder,C67.8,Malignant neoplasm: Overlapping lesion of bladder,Cross-mapped,NA
Primary malignancy bladder,C67.9,"Malignant neoplasm: Bladder, unspecified",Cross-mapped,NA
Primary malignancy bladder,D41.4,Neoplasm of uncertain or unknown behaviour: Bladder,Cross-mapped,NA
Primary malignancy bladder,Z85.5,Personal history of malignant neoplasm of urinary tract,Cross-mapped,NA
Primary malignancy bone and articular cartilage,C40,Malignant neoplasm of bone and articular cartilage of limbs,Kuan,NA
Primary malignancy bone and articular cartilage,C40.0,Malignant neoplasm: Scapula and long bones of upper limb,Cross-mapped,NA
Primary malignancy bone and articular cartilage,C40.1,Malignant neoplasm: Short bones of upper limb,Cross-mapped,NA
Primary malignancy bone and articular cartilage,C40.2,Malignant neoplasm: Long bones of lower limb,Cross-mapped,NA
Primary malignancy bone and articular cartilage,C40.3,Malignant neoplasm: Short bones of lower limb,Cross-mapped,NA
Primary malignancy bone and articular cartilage,C40.9,"Malignant neoplasm: Bone and articular cartilage of limb, unspecified",Cross-mapped,NA
Primary malignancy bone and articular cartilage,C41,Malignant neoplasm of bone and articular cartilage of other and unspecified sites,Kuan,NA
Primary malignancy bone and articular cartilage,C41.0,Malignant neoplasm: Bones of skull and face,Cross-mapped,NA
Primary malignancy bone and articular cartilage,C41.1,Malignant neoplasm: Mandible,Cross-mapped,NA
Primary malignancy bone and articular cartilage,C41.2,Malignant neoplasm: Vertebral column,Cross-mapped,NA
Primary malignancy bone and articular cartilage,C41.3,"Malignant neoplasm: Ribs, sternum and clavicle",Cross-mapped,NA
Primary malignancy bone and articular cartilage,C41.4,"Malignant neoplasm: Pelvic bones, sacrum and coccyx",Cross-mapped,NA
Primary malignancy bone and articular cartilage,C41.8,Malignant neoplasm: Overlapping lesion of bone and articular cartilage,Cross-mapped,NA
Primary malignancy bone and articular cartilage,C41.9,"Malignant neoplasm: Bone and articular cartilage, unspecified",Cross-mapped,NA
Primary malignancy bone and articular cartilage,D48.0,Neoplasm of uncertain or unknown behaviour: Bone and articular cartilage,Cross-mapped,NA
Primary malignancy bone and articular cartilage,Z85.8,Personal history of malignant neoplasms of other organs and systems,Cross-mapped,NA
"Primary malignancy brain, other CNS and intracranial",C49.5,Malignant neoplasm: Connective and soft tissue of pelvis,Cross-mapped,NA
"Primary malignancy brain, other CNS and intracranial",C70,Malignant neoplasm of meninges,Kuan,NA
"Primary malignancy brain, other CNS and intracranial",C70.0,Malignant neoplasm: Cerebral meninges,Cross-mapped,NA
"Primary malignancy brain, other CNS and intracranial",C70.1,Malignant neoplasm: Spinal meninges,Cross-mapped,NA
"Primary malignancy brain, other CNS and intracranial",C70.9,"Malignant neoplasm: Meninges, unspecified",Cross-mapped,NA
"Primary malignancy brain, other CNS and intracranial",C71,Malignant neoplasm of brain,Kuan,NA
"Primary malignancy brain, other CNS and intracranial",C71.0,"Malignant neoplasm: Cerebrum, except lobes and ventricles",Cross-mapped,NA
"Primary malignancy brain, other CNS and intracranial",C71.1,Malignant neoplasm: Frontal lobe,Cross-mapped,NA
"Primary malignancy brain, other CNS and intracranial",C71.2,Malignant neoplasm: Temporal lobe,Cross-mapped,NA
"Primary malignancy brain, other CNS and intracranial",C71.3,Malignant neoplasm: Parietal lobe,Cross-mapped,NA
"Primary malignancy brain, other CNS and intracranial",C71.4,Malignant neoplasm: Occipital lobe,Cross-mapped,NA
"Primary malignancy brain, other CNS and intracranial",C71.5,Malignant neoplasm: Cerebral ventricle,Cross-mapped,NA
"Primary malignancy brain, other CNS and intracranial",C71.6,Malignant neoplasm: Cerebellum,Cross-mapped,NA
"Primary malignancy brain, other CNS and intracranial",C71.7,Malignant neoplasm: Brain stem,Cross-mapped,NA
"Primary malignancy brain, other CNS and intracranial",C71.8,Malignant neoplasm: Overlapping lesion of brain,Cross-mapped,NA
"Primary malignancy brain, other CNS and intracranial",C71.9,"Malignant neoplasm: Brain, unspecified",Cross-mapped,NA
"Primary malignancy brain, other CNS and intracranial",C72,Malignant neoplasm of spinal cord cranial nerves and other parts of central nervous system,Kuan,NA
"Primary malignancy brain, other CNS and intracranial",C72.0,Malignant neoplasm: Spinal cord,Cross-mapped,NA
"Primary malignancy brain, other CNS and intracranial",C72.1,Malignant neoplasm: Cauda equina,Cross-mapped,NA
"Primary malignancy brain, other CNS and intracranial",C72.2,Malignant neoplasm: Olfactory nerve,Cross-mapped,NA
"Primary malignancy brain, other CNS and intracranial",C72.3,Malignant neoplasm: Optic nerve,Cross-mapped,NA
"Primary malignancy brain, other CNS and intracranial",C72.4,Malignant neoplasm: Acoustic nerve,Cross-mapped,NA
"Primary malignancy brain, other CNS and intracranial",C72.5,Malignant neoplasm: Other and unspecified cranial nerves,Cross-mapped,NA
"Primary malignancy brain, other CNS and intracranial",C75.1,Malignant neoplasm: Pituitary gland,Overlap,NA
"Primary malignancy brain, other CNS and intracranial",C75.2,Malignant neoplasm: Craniopharyngeal duct,Overlap,NA
"Primary malignancy brain, other CNS and intracranial",C75.3,Malignant neoplasm: Pineal gland,Overlap,NA
"Primary malignancy brain, other CNS and intracranial",C75.4,Malignant neoplasm: Carotid body,Overlap,NA
"Primary malignancy brain, other CNS and intracranial",C75.5,Malignant neoplasm: Aortic body and other paraganglia,Overlap,NA
"Primary malignancy brain, other CNS and intracranial",D43.2,"Neoplasm of uncertain or unknown behaviour: Brain, unspecified",Cross-mapped,NA
"Primary malignancy brain, other CNS and intracranial",D43.9,"Neoplasm of uncertain or unknown behaviour: Central nervous system, unspecified",Cross-mapped,NA
"Primary malignancy brain, other CNS and intracranial",Z85.8,Personal history of malignant neoplasms of other organs and systems,Cross-mapped,NA
Primary malignancy breast,C50,Malignant neoplasm of breast,Overlap,NA
Primary malignancy breast,C50.0,Malignant neoplasm: Nipple and areola,Cross-mapped,NA
Primary malignancy breast,C50.1,Malignant neoplasm: Central portion of breast,Cross-mapped,NA
Primary malignancy breast,C50.2,Malignant neoplasm: Upper-inner quadrant of breast,Cross-mapped,NA
Primary malignancy breast,C50.3,Malignant neoplasm: Lower-inner quadrant of breast,Cross-mapped,NA
Primary malignancy breast,C50.4,Malignant neoplasm: Upper-outer quadrant of breast,Cross-mapped,NA
Primary malignancy breast,C50.5,Malignant neoplasm: Lower-outer quadrant of breast,Cross-mapped,NA
Primary malignancy breast,C50.6,Malignant neoplasm: Axillary tail of breast,Cross-mapped,NA
Primary malignancy breast,C50.8,Malignant neoplasm: Overlapping lesion of breast,Cross-mapped,NA
Primary malignancy breast,C50.9,"Malignant neoplasm: Breast, unspecified",Cross-mapped,NA
Primary malignancy breast,D05,Carcinoma in situ of breast,Kuan,NA
Primary malignancy breast,D05.0,Lobular carcinoma in situ,Cross-mapped,NA
Primary malignancy breast,D05.1,Intraductal carcinoma in situ,Cross-mapped,NA
Primary malignancy breast,D05.7,Other carcinoma in situ of breast,Cross-mapped,NA
Primary malignancy breast,D05.9,"Carcinoma in situ of breast, unspecified",Cross-mapped,NA
Primary malignancy breast,D48.6,Neoplasm of uncertain or unknown behaviour: Breast,Cross-mapped,NA
Primary malignancy breast,Z85.3,Personal history of malignant neoplasm of breast,Cross-mapped,NA
Primary malignancy cervical,C53,Malignant neoplasm of cervix uteri,Kuan,NA
Primary malignancy cervical,C53.0,Malignant neoplasm: Endocervix,Cross-mapped,NA
Primary malignancy cervical,C53.1,Malignant neoplasm: Exocervix,Cross-mapped,NA
Primary malignancy cervical,C53.8,Malignant neoplasm: Overlapping lesion of cervix uteri,Cross-mapped,NA
Primary malignancy cervical,C53.9,"Malignant neoplasm: Cervix uteri, unspecified",Cross-mapped,NA
Primary malignancy cervical,D06.0,Carcinoma in situ: Endocervix,Cross-mapped,NA
Primary malignancy cervical,D06.1,Carcinoma in situ: Exocervix,Cross-mapped,NA
Primary malignancy cervical,D06.9,"Carcinoma in situ: Cervix, unspecified",Cross-mapped,NA
Primary malignancy cervical,Z85.4,Personal history of malignant neoplasm of genital organs,Cross-mapped,NA
Primary malignancy colorectal and anus,C18,Malignant neoplasm of colon,Kuan,NA
Primary malignancy colorectal and anus,C18.0,Malignant neoplasm: Caecum,Cross-mapped,NA
Primary malignancy colorectal and anus,C18.1,Malignant neoplasm: Appendix,Cross-mapped,NA
Primary malignancy colorectal and anus,C18.2,Malignant neoplasm: Ascending colon,Cross-mapped,NA
Primary malignancy colorectal and anus,C18.3,Malignant neoplasm: Hepatic flexure,Cross-mapped,NA
Primary malignancy colorectal and anus,C18.4,Malignant neoplasm: Transverse colon,Cross-mapped,NA
Primary malignancy colorectal and anus,C18.5,Malignant neoplasm: Splenic flexure,Cross-mapped,NA
Primary malignancy colorectal and anus,C18.6,Malignant neoplasm: Descending colon,Cross-mapped,NA
Primary malignancy colorectal and anus,C18.7,Malignant neoplasm: Sigmoid colon,Cross-mapped,NA
Primary malignancy colorectal and anus,C18.8,Malignant neoplasm: Overlapping lesion of colon,Cross-mapped,NA
Primary malignancy colorectal and anus,C18.9,"Malignant neoplasm: Colon, unspecified",Cross-mapped,NA
Primary malignancy colorectal and anus,C19,Malignant neoplasm of rectosigmoid junction,Overlap,NA
Primary malignancy colorectal and anus,C20,Malignant neoplasm of rectum,Overlap,NA
Primary malignancy colorectal and anus,C21,Malignant neoplasm of anus and anal canal,Kuan,NA
Primary malignancy colorectal and anus,C21.0,"Malignant neoplasm: Anus, unspecified",Cross-mapped,NA
Primary malignancy colorectal and anus,C21.1,Malignant neoplasm: Anal canal,Cross-mapped,NA
Primary malignancy colorectal and anus,C21.2,Malignant neoplasm: Cloacogenic zone,Cross-mapped,NA
