Condition,ICD10code,ICD10codeDescr
Peripheral venous and lymphatic disease,Q26.6,Portal vein-hepatic artery fistula
Peripheral venous and lymphatic disease,Q26.8,Other congenital malformations of great veins
Peripheral venous and lymphatic disease,Q26.9,Congenital malformation of great vein, unspecified
Peripheral venous and lymphatic disease,Q82.0,Hereditary lymphoedema
Personality disorder,F60,Specific personality disorders
Personality disorder,F60.0,Paranoid personality disorder
Personality disorder,F60.1,Schizoid personality disorder
Personality disorder,F60.2,Dissocial personality disorder
Personality disorder,F60.3,Emotionally unstable personality disorder
Personality disorder,F60.4,Histrionic personality disorder
Personality disorder,F60.5,Anankastic personality disorder
Personality disorder,F60.6,Anxious [avoidant] personality disorder
Personality disorder,F60.7,Dependent personality disorder
Personality disorder,F60.8,Other specific personality disorders
Personality disorder,F60.9,Personality disorder, unspecified
Personality disorder,F61,Mixed and other personality disorders
Personality disorder,F68,Other disorders of adult personality and behaviour
Personality disorder,F69,Unspecified disorder of adult personality and behaviour
Polycystic ovarian syndrome,E28.2,Polycystic ovarian syndrome
Polycythaemia vera,D45,Polycythaemia vera
Polymyalgia Rheumatica,M31.5,Giant cell arteritis with polymyalgia rheumatica
Polymyalgia Rheumatica,M35.3,Polymyalgia rheumatica
Portal hypertension and oesophageal varices,I85,Oesophageal varices
Portal hypertension and oesophageal varices,I85.0,Oesophageal varices with bleeding
Portal hypertension and oesophageal varices,I85.9,Oesophageal varices without bleeding
Portal hypertension and oesophageal varices,I98.2,Oesophageal varices without bleeding in diseases classified elsewhere
Portal hypertension and oesophageal varices,I98.3,Oesophageal varices with bleeding in diseases classified elsewhere
Portal hypertension and oesophageal varices,K76.6,Portal hypertension
Post-traumatic stress and stress-related disorders,F43,Reaction to severe stress, and adjustment disorders
Post-traumatic stress and stress-related disorders,F43.0,Acute stress reaction
Post-traumatic stress and stress-related disorders,F43.1,Post-traumatic stress disorder
Post-traumatic stress and stress-related disorders,F43.2,Adjustment disorders
Post-traumatic stress and stress-related disorders,F43.8,Other reactions to severe stress
Post-traumatic stress and stress-related disorders,F43.9,Reaction to severe stress, unspecified
Post-traumatic stress and stress-related disorders,R45.7,State of emotional shock and stress, unspecified
Post-traumatic stress and stress-related disorders,R46.6,Undue concern and preoccupation with stressful events
Post-traumatic stress and stress-related disorders,Z56.3,Stressful work schedule
Post-traumatic stress and stress-related disorders,Z63.7,Other stressful life events affecting family and household
Post-traumatic stress and stress-related disorders,Z73.3,Stress, not elsewhere classified
Primary malignancy biliary tract,C22.1,Malignant neoplasm: Intrahepatic bile duct carcinoma
Primary malignancy biliary tract,C24,Malignant neoplasm of other and unspecified parts of biliary tract
Primary malignancy biliary tract,C24.0,Malignant neoplasm: Extrahepatic bile duct
Primary malignancy biliary tract,C24.1,Malignant neoplasm: Ampulla of Vater
Primary malignancy biliary tract,C24.8,Malignant neoplasm: Overlapping lesion of biliary tract
Primary malignancy biliary tract,D01.5,Carcinoma in situ: Liver, gallbladder and bile ducts
Primary malignancy biliary tract,D37.6,Neoplasm of uncertain or unknown behaviour: Liver, gallbladder and bile ducts
Primary malignancy bladder,C67,Malignant neoplasm of bladder
Primary malignancy bladder,C67.0,Malignant neoplasm: Trigone of bladder
Primary malignancy bladder,C67.1,Malignant neoplasm: Dome of bladder
Primary malignancy bladder,C67.2,Malignant neoplasm: Lateral wall of bladder
Primary malignancy bladder,C67.3,Malignant neoplasm: Anterior wall of bladder
Primary malignancy bladder,C67.4,Malignant neoplasm: Posterior wall of bladder
Primary malignancy bladder,C67.5,Malignant neoplasm: Bladder neck
Primary malignancy bladder,C67.6,Malignant neoplasm: Ureteric orifice
Primary malignancy bladder,C67.7,Malignant neoplasm: Urachus
Primary malignancy bladder,C67.8,Malignant neoplasm: Overlapping lesion of bladder
Primary malignancy bladder,C67.9,Malignant neoplasm: Bladder, unspecified
Primary malignancy bladder,D41.4,Neoplasm of uncertain or unknown behaviour: Bladder
Primary malignancy bladder,Z85.5,Personal history of malignant neoplasm of urinary tract
Primary malignancy bone and articular cartilage,C40,Malignant neoplasm of bone and articular cartilage of limbs
Primary malignancy bone and articular cartilage,C40.0,Malignant neoplasm: Scapula and long bones of upper limb
Primary malignancy bone and articular cartilage,C40.1,Malignant neoplasm: Short bones of upper limb
Primary malignancy bone and articular cartilage,C40.2,Malignant neoplasm: Long bones of lower limb
Primary malignancy bone and articular cartilage,C40.3,Malignant neoplasm: Short bones of lower limb
Primary malignancy bone and articular cartilage,C40.9,Malignant neoplasm: Bone and articular cartilage of limb, unspecified
Primary malignancy bone and articular cartilage,C41,Malignant neoplasm of bone and articular cartilage of other and unspecified sites
Primary malignancy bone and articular cartilage,C41.0,Malignant neoplasm: Bones of skull and face
Primary malignancy bone and articular cartilage,C41.1,Malignant neoplasm: Mandible
Primary malignancy bone and articular cartilage,C41.2,Malignant neoplasm: Vertebral column
Primary malignancy bone and articular cartilage,C41.3,Malignant neoplasm: Ribs, sternum and clavicle
Primary malignancy bone and articular cartilage,C41.4,Malignant neoplasm: Pelvic bones, sacrum and coccyx
Primary malignancy bone and articular cartilage,C41.8,Malignant neoplasm: Overlapping lesion of bone and articular cartilage
Primary malignancy bone and articular cartilage,C41.9,Malignant neoplasm: Bone and articular cartilage, unspecified
Primary malignancy bone and articular cartilage,D48.0,Neoplasm of uncertain or unknown behaviour: Bone and articular cartilage
Primary malignancy brain, other CNS and intracranial,C49.5,Malignant neoplasm: Connective and soft tissue of pelvis
Primary malignancy brain, other CNS and intracranial,C70,Malignant neoplasm of meninges
Primary malignancy brain, other CNS and intracranial,C70.0,Malignant neoplasm: Cerebral meninges
Primary malignancy brain, other CNS and intracranial,C70.1,Malignant neoplasm: Spinal meninges
Primary malignancy brain, other CNS and intracranial,C70.9,Malignant neoplasm: Meninges, unspecified
Primary malignancy brain, other CNS and intracranial,C71,Malignant neoplasm of brain
Primary malignancy brain, other CNS and intracranial,C71.0,Malignant neoplasm: Cerebrum, except lobes and ventricles
Primary malignancy brain, other CNS and intracranial,C71.1,Malignant neoplasm: Frontal lobe
Primary malignancy brain, other CNS and intracranial,C71.2,Malignant neoplasm: Temporal lobe
Primary malignancy brain, other CNS and intracranial,C71.3,Malignant neoplasm: Parietal lobe
Primary malignancy brain, other CNS and intracranial,C71.4,Malignant neoplasm: Occipital lobe
Primary malignancy brain, other CNS and intracranial,C71.5,Malignant neoplasm: Cerebral ventricle
Primary malignancy brain, other CNS and intracranial,C71.6,Malignant neoplasm: Cerebellum
Primary malignancy brain, other CNS and intracranial,C71.7,Malignant neoplasm: Brain stem
Primary malignancy brain, other CNS and intracranial,C71.8,Malignant neoplasm: Overlapping lesion of brain
Primary malignancy brain, other CNS and intracranial,C71.9,Malignant neoplasm: Brain, unspecified
Primary malignancy brain, other CNS and intracranial,C72,Malignant neoplasm of spinal cord cranial nerves and other parts of central nervous system
Primary malignancy brain, other CNS and intracranial,C72.0,Malignant neoplasm: Spinal cord
Primary malignancy brain, other CNS and intracranial,C72.1,Malignant neoplasm: Cauda equina
Primary malignancy brain, other CNS and intracranial,C72.2,Malignant neoplasm: Olfactory nerve
Primary malignancy brain, other CNS and intracranial,C72.3,Malignant neoplasm: Optic nerve
Primary malignancy brain, other CNS and intracranial,C72.4,Malignant neoplasm: Acoustic nerve
Primary malignancy brain, other CNS and intracranial,C72.5,Malignant neoplasm: Other and unspecified cranial nerves
Primary malignancy brain, other CNS and intracranial,C75.1,Malignant neoplasm: Pituitary gland
Primary malignancy brain, other CNS and intracranial,C75.2,Malignant neoplasm: Craniopharyngeal duct
Primary malignancy brain, other CNS and intracranial,C75.3,Malignant neoplasm: Pineal gland
Primary malignancy brain, other CNS and intracranial,C75.4,Malignant neoplasm: Carotid body
Primary malignancy brain, other CNS and intracranial,C75.5,Malignant neoplasm: Aortic body and other paraganglia
Primary malignancy brain, other CNS and intracranial,D43.2,Neoplasm of uncertain or unknown behaviour: Brain, unspecified
Primary malignancy brain, other CNS and intracranial,D43.9,Neoplasm of uncertain or unknown behaviour: Central nervous system, unspecified
Primary malignancy breast,C50,Malignant neoplasm of breast
Primary malignancy breast,C50.0,Malignant neoplasm: Nipple and areola
Primary malignancy breast,C50.1,Malignant neoplasm: Central portion of breast
Primary malignancy breast,C50.2,Malignant neoplasm: Upper-inner quadrant of breast
Primary malignancy breast,C50.3,Malignant neoplasm: Lower-inner quadrant of breast
Primary malignancy breast,C50.4,Malignant neoplasm: Upper-outer quadrant of breast
Primary malignancy breast,C50.5,Malignant neoplasm: Lower-outer quadrant of breast
Primary malignancy breast,C50.6,Malignant neoplasm: Axillary tail of breast
Primary malignancy breast,C50.8,Malignant neoplasm: Overlapping lesion of breast
Primary malignancy breast,C50.9,Malignant neoplasm: Breast, unspecified
Primary malignancy breast,D05,Carcinoma in situ of breast
Primary malignancy breast,D05.0,Lobular carcinoma in situ
Primary malignancy breast,D05.1,Intraductal carcinoma in situ
Primary malignancy breast,D05.7,Other carcinoma in situ of breast
Primary malignancy breast,D05.9,Carcinoma in situ of breast, unspecified
Primary malignancy breast,D48.6,Neoplasm of uncertain or unknown behaviour: Breast
Primary malignancy breast,Z85.3,Personal history of malignant neoplasm of breast
Primary malignancy cervical,C53,Malignant neoplasm of cervix uteri
Primary malignancy cervical,C53.0,Malignant neoplasm: Endocervix
Primary malignancy cervical,C53.1,Malignant neoplasm: Exocervix
Primary malignancy cervical,C53.8,Malignant neoplasm: Overlapping lesion of cervix uteri
Primary malignancy cervical,C53.9,Malignant neoplasm: Cervix uteri, unspecified
Primary malignancy cervical,D06.0,Carcinoma in situ: Endocervix
Primary malignancy cervical,D06.1,Carcinoma in situ: Exocervix
Primary malignancy cervical,D06.9,Carcinoma in situ: Cervix, unspecified
Primary malignancy colorectal and anus,C18,Malignant neoplasm of colon
Primary malignancy colorectal and anus,C18.0,Malignant neoplasm: Caecum
Primary malignancy colorectal and anus,C18.1,Malignant neoplasm: Appendix
Primary malignancy colorectal and anus,C18.2,Malignant neoplasm: Ascending colon
Primary malignancy colorectal and anus,C18.3,Malignant neoplasm: Hepatic flexure
Primary malignancy colorectal and anus,C18.4,Malignant neoplasm: Transverse colon
Primary malignancy colorectal and anus,C18.5,Malignant neoplasm: Splenic flexure
Primary malignancy colorectal and anus,C18.6,Malignant neoplasm: Descending colon
Primary malignancy colorectal and anus,C18.7,Malignant neoplasm: Sigmoid colon
Primary malignancy colorectal and anus,C18.8,Malignant neoplasm: Overlapping lesion of colon
Primary malignancy colorectal and anus,C18.9,Malignant neoplasm: Colon, unspecified
Primary malignancy colorectal and anus,C19,Malignant neoplasm of rectosigmoid junction
Primary malignancy colorectal and anus,C20,Malignant neoplasm of rectum
Primary malignancy colorectal and anus,C21,Malignant neoplasm of anus and anal canal
Primary malignancy colorectal and anus,C21.0,Malignant neoplasm: Anus, unspecified
Primary malignancy colorectal and anus,C21.1,Malignant neoplasm: Anal canal
Primary malignancy colorectal and anus,C21.2,Malignant neoplasm: Cloacogenic zone
Primary malignancy colorectal and anus,C26.0,Malignant neoplasm: Intestinal tract, part unspecified
Primary malignancy colorectal and anus,D01.0,Carcinoma in situ: Colon
Primary malignancy colorectal and anus,D01.2,Carcinoma in situ: Rectum
Primary malignancy colorectal and anus,D01.4,Carcinoma in situ: Other and unspecified parts of intestine
Primary malignancy colorectal and anus,D37.4,Neoplasm of uncertain or unknown behaviour: Colon
Primary malignancy kidney and ureter,C64,Malignant neoplasm of kidney except renal pelvis
Primary malignancy kidney and ureter,C64,Malignant neoplasm of kidney, except renal pelvis
Primary malignancy kidney and ureter,C65,Malignant neoplasm of renal pelvis
Primary malignancy kidney and ureter,C66,Malignant neoplasm of ureter
Primary malignancy kidney and ureter,C68.9,Malignant neoplasm: Urinary organ, unspecified
Primary malignancy kidney and ureter,D41.0,Neoplasm of uncertain or unknown behaviour: Kidney
Primary malignancy kidney and ureter,Z85.5,Personal history of malignant neoplasm of urinary tract
Primary malignancy liver,C22.0,Malignant neoplasm: Liver cell carcinoma
Primary malignancy liver,C22.2,Malignant neoplasm: Hepatoblastoma
Primary malignancy liver,C22.3,Malignant neoplasm: Angiosarcoma of liver
Primary malignancy liver,C22.4,Malignant neoplasm: Other sarcomas of liver
Primary malignancy liver,C22.7,Malignant neoplasm: Other specified carcinomas of liver
Primary malignancy liver,C22.9,Malignant neoplasm: Liver unspecified
Primary malignancy liver,C22.9,Malignant neoplasm: Liver, unspecified
Primary malignancy liver,D37.6,Neoplasm of uncertain or unknown behaviour: Liver, gallbladder and bile ducts
Primary malignancy lung and trachea,C33,Malignant neoplasm of trachea
Primary malignancy lung and trachea,C34,Malignant neoplasm of bronchus and lung
Primary malignancy lung and trachea,C34.0,Malignant neoplasm: Main bronchus
Primary malignancy lung and trachea,C34.1,Malignant neoplasm: Upper lobe, bronchus or lung
Primary malignancy lung and trachea,C34.2,Malignant neoplasm: Middle lobe, bronchus or lung
Primary malignancy lung and trachea,C34.3,Malignant neoplasm: Lower lobe, bronchus or lung
